Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
85068-16969,C,Charlie,Charlie Coyle,Coyle,9.290322580645162,31,5100,WPG@BOS,BOS,WPG,,,,,,C/UTIL
85068-146131,W,Seth,Seth Jarvis,Jarvis,8.78125,32,5100,CAR@PIT,CAR,PIT,,,,,,W/UTIL
85068-145130,W,Cole,Cole Perfetti,Perfetti,9.346875190734863,32,5100,WPG@BOS,WPG,BOS,,,,,,W/UTIL
85068-68646,W,Brandon,Brandon Tanev,Tanev,8.64516129032258,31,5000,SEA@VAN,SEA,VAN,,,,,,W/UTIL
85068-39252,W,Brock,Brock McGinn,McGinn,8.037500381469727,32,5000,CAR@PIT,PIT,CAR,,,,,,W/UTIL
85068-8635,W,T.J.,T.J. Oshie,Oshie,8.978260869565217,23,5000,WSH@OTT,WSH,OTT,O,Upper body,,,,W/UTIL
85068-58877,W,Conor,Conor Sheary,Sheary,9.794117647058824,34,5000,WSH@OTT,WSH,OTT,,,,,,W/UTIL
85068-142019,D,Jake,Jake Sanderson,Sanderson,8.568750381469727,32,5000,WSH@OTT,OTT,WSH,,,,,,D/UTIL
85068-15287,C,Jean-Gabriel,Jean-Gabriel Pageau,Pageau,9.38787841796875,33,5000,NYI@NYR,NYI,NYR,,,,,,C/UTIL
85068-43008,W,Jordan,Jordan Martinook,Martinook,8.274999618530273,32,4900,CAR@PIT,CAR,PIT,,,,,,W/UTIL
85068-68655,D,Matt,Matt Grzelcyk,Grzelcyk,6.962962962962963,27,4900,WPG@BOS,BOS,WPG,,,,,,D/UTIL
85068-82087,C,Filip,Filip Chytil,Chytil,9.190000406901042,30,4900,NYI@NYR,NYR,NYI,,,,,,C/UTIL
85068-70928,C,Sam,Sam Steel,Steel,6.565625190734863,32,4900,MIN@SJ,MIN,SJ,,,,,,C/UTIL
85068-58686,W,Kasperi,Kasperi Kapanen,Kapanen,8.16956495202106,23,4900,CAR@PIT,PIT,CAR,,,,,,W/UTIL
